Reference #,Incident ID,Assigned Account,Severity,Status,Status Type,Subject,Product ID,Organisation ID,Date Closed,Date Created,Contact ID,Category ID
110117-000005,2676,Stephen Pickett,Medium,Solved,Solved,Wireless login issue,Wireless Password,473,17-01-2011 13:46,17-01-2011 13:46,1938,No Value
110118-000001,2679,Alan Cheng,Urgent,Solved,Solved,Right Now error,Other,473,27-01-2011 11:22,18-01-2011 10:54,2713,No Value
110118-000003,2680,Stephen Pickett,High,Solved,Solved,Right Now issues,Instance Freezing,473,18-01-2011 15:14,18-01-2011 13:35,839,No Value
110118-000006,2683,Stephen Pickett,Urgent,Solved,Solved,Right now issues,Missing Data,473,18-01-2011 19:56,18-01-2011 14:18,839,No Value
110118-000008,2685,Stephen Pickett,Urgent,Solved,Solved,HELP,Password Issue,473,19-01-2011 15:32,18-01-2011 17:38,1934,No Value
110118-000009,2686,Stephen Pickett,Urgent,Solved,Solved,Patrick can't get in to casupport or connect14gb,Password Issue,473,18-01-2011 18:48,18-01-2011 18:48,1934,No Value
110118-000010,2687,Chris Farmer,High,Solved,Solved,RNT problem on casupport,No Value,473,22-01-2011 02:20,18-01-2011 22:29,1934,No Value
110119-000000,2688,Chris Farmer,High,Solved,Solved,Problems with Right Now,Other,473,22-01-2011 02:21,19-01-2011 10:01,2731,No Value
110119-000001,2689,Alan Cheng,Urgent,Solved,Solved,HR Drive,Other,473,22-01-2011 02:21,19-01-2011 11:54,1106,No Value
110120-000000,2690,Stephen Pickett,High,Solved,Solved,Commsoffice Voice,CommsOffice,473,23-01-2011 05:32,20-01-2011 08:32,839,No Value
110120-000002,2691,Stephen Pickett,Urgent,Solved,Solved,Turn2us password,Password Issue,473,20-01-2011 10:11,20-01-2011 10:11,1934,No Value
110120-000003,2692,Alan Cheng,Urgent,Solved,Solved,Turn2us website,Website,473,20-01-2011 12:11,20-01-2011 11:57,2713,No Value
110124-000000,2695,Alan Cheng,Medium,Solved,Solved,Shaw Trust Accessibility Changes,No Value,27,24-02-2011 14:05,24-01-2011 09:56,1065,No Value
110124-000002,2696,Stephen Pickett,Low,Solved,Solved,Intranet not loading,Intranet,473,24-01-2011 10:24,24-01-2011 10:24,2748,No Value
110124-000003,2697,Stephen Pickett,Medium,Solved,Solved,Shoreware Agent Manager Screens,Wallboard,473,24-01-2011 13:48,24-01-2011 11:28,2722,No Value
110124-000004,2698,Stephen Pickett,Urgent,Solved,Solved,Connect Assist Website,Website,473,24-01-2011 13:40,24-01-2011 12:11,2540,No Value
110125-000000,2699,Alan Cheng,Urgent,Solved,Solved,Unable to log in to Shoreware Agent Toolbar,Agent Toolbar,473,25-01-2011 09:44,25-01-2011 09:10,2759,No Value
110125-000001,2700,Stephen Pickett,Medium,Solved,Solved,Wall board reports,Other,473,25-01-2011 09:59,25-01-2011 09:41,1243,No Value
110125-000002,2701,Stephen Pickett,Low,Solved,Solved,Turn2Us Website/RightNow Integration,System Configuration,27,24-02-2014 13:57,25-01-2011 11:55,1065,No Value
110126-000000,2702,Alan Cheng,Urgent,Solved,Solved,HR Drive (Y),Shared Drive,473,26-01-2011 11:17,26-01-2011 09:14,1106,No Value
110126-000001,2703,Alan Cheng,Urgent,Solved,Solved,Right Now error,Other,473,26-01-2011 11:13,26-01-2011 10:45,2713,No Value
110127-000000,2704,Stephen Pickett,Medium,Solved,Solved,Shared Drive,Shared Drive,473,03-02-2011 17:40,27-01-2011 09:27,2721,No Value
110127-000002,2706,Stephen Pickett,Low,Solved,Solved,A4e.custhelp.com,Other,473,27-01-2011 10:44,27-01-2011 10:11,2748,No Value
110127-000003,2707,Stephen Pickett,Urgent,Solved,Solved,Cannot login to RightNow,No Value,1,27-01-2011 15:59,27-01-2011 10:27,573,No Value
110127-000004,2708,Alan Cheng,Urgent,Solved,Solved,T2u presentation - FAO Alan,Other,473,27-01-2011 11:18,27-01-2011 10:28,832,No Value
110127-000006,2709,Stephen Pickett,Medium,Solved,Solved,Error loading product report,Custom Application,560,27-01-2011 15:58,27-01-2011 10:58,2157,No Value
110127-000007,2710,Alan Cheng,Low,Solved,Solved,Benefit cheker and Right Now problems,Other,473,27-01-2011 14:26,27-01-2011 12:16,2713,No Value
110127-000008,2711,Alan Cheng,Medium,Solved,Solved,Listening to recorded calls from the laptop,Other,473,10-02-2011 10:19,27-01-2011 14:16,830,No Value
110127-000009,2712,Stephen Pickett,Low,Solved,Solved,Changing content types doesn't work,Website,473,27-01-2011 16:18,27-01-2011 16:18,2540,No Value
110127-000010,2713,Stephen Pickett,Medium,Solved,Solved,Robert Latham number incorrect on the shortel directory,Communicator,473,08-02-2011 14:41,27-01-2011 20:29,830,No Value
110128-000000,2714,Stephen Pickett,Low,Solved,Solved,Sales Research - Rachel Cryer,Other,473,28-01-2011 11:43,28-01-2011 10:46,2748,No Value
110128-000001,2715,Alan Cheng,Urgent,Solved,Solved,shoretel and Rightnow,Other,473,03-10-2011 15:37,28-01-2011 12:09,839,No Value
110128-000003,2717,Alan Cheng,Medium,Solved,Solved,Right Now,Other,473,15-02-2011 10:37,28-01-2011 14:01,2713,No Value
110128-000004,2718,Alan Cheng,Low,Solved,Solved,Account Locked Out,Other,473,29-01-2011 12:57,28-01-2011 18:21,2715,No Value
110129-000000,2719,Alan Cheng,Urgent,Solved,Solved,All folders not available in Outlook,Outlook,473,29-01-2011 13:38,29-01-2011 08:13,2715,No Value
110131-000001,2722,Alan Cheng,Urgent,Solved,Solved,Shoreware agent,Communicator,473,31-01-2011 12:09,31-01-2011 11:52,2713,No Value
110131-000002,2723,Alan Cheng,Urgent,Solved,Solved,Right now error,Other,473,04-02-2011 14:27,31-01-2011 11:54,2713,No Value
110201-000000,2727,Alan Cheng,Urgent,Solved,Solved,Unable to set up Outlook or Shoretel,Agent Toolbar,473,01-02-2011 10:36,01-02-2011 10:18,2759,No Value
110201-000001,2728,Chris Farmer,High,Solved,Solved,A name to be added onto the big screen,Other,473,02-02-2011 16:55,01-02-2011 12:30,2721,No Value
110201-000003,2730,Chris Farmer,Medium,Solved,Solved,Cannot access the shared drive,Shared Drive,473,04-02-2011 01:33,01-02-2011 13:59,830,No Value
110201-000004,2731,Chris Farmer,Low,Solved,Solved,RightNow (TSN) returning a 405 error when attempting to log in,Login Error,473,01-02-2011 15:10,01-02-2011 15:10,837,No Value
110202-000000,2732,Alan Cheng,Low,Solved,Solved,Answering calls via ShoreTel,Other,473,02-02-2011 12:13,02-02-2011 11:00,2861,No Value
110202-000002,2734,Alan Cheng,Urgent,Solved,Solved,password for rightnow - turn2us,Password Issue,473,02-02-2011 12:30,02-02-2011 12:21,836,No Value
110202-000004,2736,Chris Farmer,High,Solved,Solved,Have not got permission to listen to Carolynne Gillards calls,CommsOffice,473,02-02-2011 14:56,02-02-2011 13:18,839,No Value
110202-000006,2738,Stephen Pickett,Urgent,Solved,Solved,Linda cannot access agent toolbar,Other,473,02-02-2011 14:01,02-02-2011 14:01,830,No Value
110202-000007,2739,Alan Cheng,High,Solved,Solved,Error opening daily figures for report,Outlook,473,04-02-2011 14:26,02-02-2011 15:50,2721,No Value
110203-000000,2740,Chris Farmer,Medium,Solved,Solved,Access to Applications inbox,Outlook,473,03-02-2011 09:57,03-02-2011 09:40,2861,No Value
110203-000002,2742,Chris Farmer,Medium,Solved,Solved,Manual config of Outlook,Outlook,473,03-02-2011 15:42,03-02-2011 12:17,2759,No Value
110203-000004,2744,Alan Cheng,High,Solved,Solved,WIKI query,Other,473,06-02-2011 03:59,03-02-2011 16:48,2721,No Value
110207-000001,2748,No Value,High,Solved,Solved,Windows log in access and share drive access plus email issue,Shared Drive,473,16-02-2011 15:07,07-02-2011 13:10,830,No Value
110207-000002,2749,Alan Cheng,High,Solved,Solved,No email access,Outlook,473,07-02-2011 14:29,07-02-2011 13:15,830,No Value
110207-000003,2750,Alan Cheng,High,Solved,Solved,Casupport down,Instance Freezing,473,09-02-2011 16:21,07-02-2011 14:53,2748,No Value
110207-000004,2751,Alan Cheng,High,Solved,Solved,prtCC03 not working for me to print to,Printer,473,07-02-2011 16:13,07-02-2011 15:41,830,No Value
110207-000005,2752,Alan Cheng,Low,Solved,Solved,error message in RightNow,Other,473,24-02-2011 10:03,07-02-2011 16:41,1243,No Value
110208-000000,2753,No Value,Urgent,Solved,Solved,Website down,Website,473,08-02-2011 11:05,08-02-2011 08:37,2748,No Value
110208-000002,2755,Alan Cheng,Low,Solved,Solved,permissions to edit documents,Other,473,08-02-2011 15:41,08-02-2011 10:50,1243,No Value
110208-000003,2756,No Value,High,Solved,Solved,Access to shared Drive,Other,473,08-02-2011 16:26,08-02-2011 12:34,2721,No Value
110209-000000,2757,Alan Cheng,High,Solved,Solved,Shoreware Agent Manager stopped working,Communicator,473,09-02-2011 10:09,09-02-2011 06:11,2722,No Value
110209-000001,2758,Alan Cheng,Urgent,Solved,Solved,Connect Assist website,Website,473,09-02-2011 15:55,09-02-2011 08:58,2540,No Value
110209-000002,2759,No Value,Urgent,Solved,Solved,No intranet,Intranet,473,09-02-2011 12:03,09-02-2011 11:59,830,No Value
110209-000003,2760,Alan Cheng,Low,Solved,Solved,Error Log,Other,473,17-02-2011 10:34,09-02-2011 12:01,2748,No Value
110209-000004,2761,No Value,High,Solved,Solved,Shared drive access,Other,473,09-02-2011 12:41,09-02-2011 12:38,2721,No Value
110209-000008,2764,Alan Cheng,High,Solved,Solved,Cannot access the Share drive to save on Beating the Blues clients,Shared Drive,473,10-02-2011 10:16,09-02-2011 20:09,830,No Value
110210-000000,2765,Stephen Pickett,Urgent,Solved,Solved,Call recorder,CommsOffice,473,10-02-2011 12:59,10-02-2011 09:53,1243,No Value
110210-000001,2766,Alan Cheng,High,Solved,Solved,system error came up when logging in this morning,Other,473,13-02-2011 03:36,10-02-2011 11:52,830,No Value
110210-000002,2767,Stephen Pickett,High,Solved,Solved,WIKI,Other,473,10-02-2011 14:13,10-02-2011 12:19,2721,No Value
110210-000003,2768,Stephen Pickett,Medium,Solved,Solved,Cannot create account with same E-mail address,Customer Portal,90,17-02-2011 12:24,10-02-2011 15:01,2520,No Value
110211-000001,2769,Stephen Pickett,Low,Solved,Solved,A4e Customer Portal Changes,No Value,1,08-06-2011 10:14,11-02-2011 11:45,573,No Value
110211-000002,2770,Stephen Pickett,Urgent,Solved,Solved,Access to BTB RightNow,Password Issue,473,11-02-2011 12:13,11-02-2011 12:11,1607,No Value
110211-000003,2771,Stephen Pickett,Medium,Solved,Solved,Access to Casupport Jay Ali,Other,473,18-02-2011 01:51,11-02-2011 12:33,2748,No Value
110214-000000,2773,Alan Cheng,Urgent,Solved,Solved,Shared drive not allowing me to save work,Shared Drive,473,17-02-2011 01:51,14-02-2011 07:54,1607,No Value
110214-000001,2774,Alan Cheng,High,Solved,Solved,Wallboards,Other,473,14-02-2011 10:59,14-02-2011 09:52,1243,No Value
110214-000003,2776,Alan Cheng,Medium,Solved,Solved,log in error,Other,473,14-02-2011 10:53,14-02-2011 10:47,830,No Value
110214-000004,2777,Alan Cheng,Medium,Solved,Solved,log in error 2,Shared Drive,473,14-02-2011 11:20,14-02-2011 10:48,830,No Value
110214-000005,2778,Alan Cheng,Urgent,Solved,Solved,cannot save to BTB customers spreadsheet,Shared Drive,473,14-02-2011 10:57,14-02-2011 10:51,830,No Value
110214-000006,2779,Stephen Pickett,High,Solved,Solved,A4e Pilot site,Password Issue,473,15-02-2011 10:34,14-02-2011 11:10,2748,No Value
110214-000008,2781,Alan Cheng,High,Solved,Solved,Password,Password Issue,473,14-02-2011 15:32,14-02-2011 14:42,835,No Value
110214-000009,2782,Alan Cheng,High,Solved,Solved,Faulty upload,Existing Customer,4,16-02-2011 15:08,14-02-2011 15:29,2906,No Value
110215-000001,2784,Alan Cheng,High,Solved,Solved,BTB Connect Console,Login Error,473,15-02-2011 17:13,15-02-2011 12:41,835,No Value
110215-000003,2786,Alan Cheng,Medium,Solved,Solved,Caravan Live Chat,Other,473,15-02-2011 17:12,15-02-2011 16:55,835,No Value
110215-000004,2787,Stephen Pickett,Low,Solved,Solved,New Support Incident has been raised,Other,473,15-02-2011 17:11,15-02-2011 16:57,1243,No Value
110216-000000,2788,Alan Cheng,Low,Solved,Solved,Computer mouse,Mouse,473,17-02-2011 10:16,16-02-2011 13:19,2713,No Value
110217-000000,2789,Alan Cheng,High,Solved,Solved,Name to be re-added onto board in the Contact Centre,Other,473,17-02-2011 11:28,17-02-2011 11:22,2721,No Value
110217-000005,2794,No Value,Medium,Solved,Solved,Need to download an application,Other,473,18-02-2011 12:31,17-02-2011 16:18,1243,No Value
110218-000001,2795,Stephen Pickett,Medium,Solved,Solved,Launch URLs from Intranet,Other,473,19-02-2011 15:02,18-02-2011 08:51,2748,No Value
110220-000001,2797,No Value,High,Solved,Solved,S drive,Other,473,23-02-2011 17:30,20-02-2011 19:26,2924,No Value
110220-000002,2798,No Value,Urgent,Solved,Solved,Unable to save documents onto shared drive,Shared Drive,473,23-02-2011 17:28,20-02-2011 22:22,1607,No Value
110221-000001,2800,Chris Farmer,Urgent,Solved,Solved,Export tool throwing error,Existing Customer,560,04-03-2011 09:47,21-02-2011 08:59,2157,No Value
110221-000002,2801,Stephen Pickett,Urgent,Solved,Solved,No value incidents created in Linktolife RightNow,Other,473,24-02-2011 17:42,21-02-2011 10:25,1243,No Value
110221-000003,2802,Alan Cheng,Medium,Solved,Solved,Upgrades,Installations and Upgrades,1,22-02-2011 09:49,21-02-2011 11:07,573,No Value
110222-000000,2803,No Value,High,Solved,Solved,VNC viewer,Other,473,22-02-2011 09:43,22-02-2011 09:23,2861,No Value
110224-000000,2804,Alan Cheng,High,Solved,Solved,Access to system,Other,473,24-02-2011 10:24,24-02-2011 10:16,2721,No Value
110225-000000,2807,Chris Farmer,Urgent,Solved,Solved,unable to reset password on TSN rightnow,Password Issue,473,25-02-2011 12:50,25-02-2011 12:10,1607,No Value
110225-000001,2808,Alan Cheng,Medium,Solved,Solved,Forgot password for Right Now Caravan,Password Issue,473,25-02-2011 14:01,25-02-2011 13:37,2934,No Value
110226-000000,2809,Stephen Pickett,Urgent,Solved,Solved,Payment Custom Fields seem to have Disappeared!,Missing Data,473,26-02-2011 21:18,26-02-2011 12:01,831,No Value
110226-000001,2810,Stephen Pickett,Urgent,Solved,Solved,Analytic tab and Survey tab need to be set-up,Other,473,27-02-2011 01:48,26-02-2011 20:07,1607,No Value
110227-000001,2812,Stephen Pickett,Medium,Solved,Solved,RN can not locate person,Missing Data,473,27-02-2011 15:47,27-02-2011 15:18,831,No Value
110228-000000,2813,Alan Cheng,Urgent,Solved,Solved,Offline files,Shared Drive,473,03-03-2011 01:42,28-02-2011 07:12,1607,No Value
110228-000001,2814,Alan Cheng,Urgent,Solved,Solved,Changes to Navigation sets,Other,473,28-02-2011 15:23,28-02-2011 10:31,1243,No Value
110228-000002,2815,Chris Farmer,Low,Solved,Solved,Screen resolution,Monitor,473,28-02-2011 11:50,28-02-2011 11:00,2714,No Value
110228-000003,2816,Chris Farmer,Urgent,Solved,Solved,AAQ` Responses to customers via T2u RN,Other,473,01-07-2011 15:29,28-02-2011 11:03,2714,No Value
110228-000004,2817,Alan Cheng,Urgent,Solved,Solved,Missing data,Missing Data,473,02-03-2011 17:37,28-02-2011 12:02,1243,No Value
110228-000005,2818,Chris Farmer,High,Solved,Solved,Wall board reports,Other,473,01-03-2011 12:08,28-02-2011 12:54,1243,No Value
110228-000007,2820,Chris Farmer,Urgent,Solved,Solved,Navigation set changes,Other,473,14-03-2011 10:15,28-02-2011 14:20,1243,No Value
110228-000009,2821,Alan Cheng,High,Solved,Solved,Recourse,Login Error,473,01-03-2011 14:38,28-02-2011 15:26,835,No Value
110301-000000,2822,Alan Cheng,Urgent,Solved,Solved,cannot access recourse rightnow,Login Error,473,01-03-2011 14:38,01-03-2011 12:07,830,No Value
110302-000000,2823,Chris Farmer,Urgent,Solved,Solved,I`m locked out of my linktolife RN,Password Issue,473,02-03-2011 13:31,02-03-2011 12:56,2714,No Value
110303-000000,2824,Alan Cheng,Urgent,Solved,Solved,call recording,CommsOffice,473,03-03-2011 12:27,03-03-2011 11:58,1243,No Value
110304-000001,2826,Alan Cheng,Medium,Solved,Solved,Sophos Warning On Contact Centre Boards,Monitor,473,04-03-2011 15:16,04-03-2011 14:40,835,No Value
110304-000000,2827,Alan Cheng,Urgent,Solved,Solved,Renovo Site Build,No Value,646,03-05-2011 14:13,04-03-2011 14:42,2645,No Value
110307-000000,2829,Chris Farmer,Urgent,Solved,Solved,I am unable to access RN T2u,Login Error,473,07-03-2011 11:25,07-03-2011 09:20,2714,No Value
110307-000002,2831,Chris Farmer,Urgent,Solved,Solved,Shoreware agent manager,Other,473,16-03-2011 10:04,07-03-2011 13:21,2713,No Value
110308-000000,2833,Chris Farmer,Urgent,Solved,Solved,NCVO CP Rebrand,Customer Portal,522,17-01-2012 14:47,08-03-2011 17:17,3474,No Value
110310-000000,2834,Chris Farmer,Urgent,Solved,Solved,Joanne's email and PC clock issues,Outlook,473,11-03-2011 09:32,10-03-2011 19:47,830,No Value
110311-000000,2835,Chris Farmer,High,Solved,Solved,wuts.custhelp.com,Login Error,473,14-03-2011 10:17,11-03-2011 08:44,2748,No Value
110314-000001,2838,Chris Farmer,Medium,Solved,Solved,Export tool throwing error,Custom Application,560,22-03-2011 09:54,14-03-2011 17:57,2157,No Value
110315-000000,2839,Stephen Pickett,Medium,Solved,Solved,TSS and TSC voice mail folders missing,Outlook,473,15-03-2011 11:05,15-03-2011 11:04,830,No Value
110315-000001,2840,Stephen Pickett,High,Solved,Solved,Receiving call backs after 8pm,Other,473,15-03-2011 11:07,15-03-2011 11:07,1243,No Value
110315-000002,2841,Chris Farmer,Urgent,Solved,Solved,Call recording,CommsOffice,473,15-03-2011 13:53,15-03-2011 13:22,1243,No Value
110315-000003,2842,No Value,High,Solved,Solved,Printer query,Printer,473,15-03-2011 15:31,15-03-2011 15:22,2721,No Value
110316-000000,2843,Chris Farmer,Medium,Solved,Solved,Updated a solved incident on export tool throwing error,Existing Customer,560,21-03-2011 09:35,16-03-2011 10:14,2157,No Value
110316-000001,2844,Alan Cheng,High,Solved,Solved,Error message on Contact Centre board,Other,473,16-03-2011 13:48,16-03-2011 13:47,2721,No Value
110316-000002,2845,Chris Farmer,Low,Solved,Solved,Export tool throwing error,No Value,560,20-07-2011 19:35,16-03-2011 18:27,2157,No Value
110317-000000,2846,Alan Cheng,Urgent,Solved,Solved,Rn,Other,473,17-03-2011 10:28,17-03-2011 10:16,831,No Value
110317-000001,2847,Alan Cheng,Medium,Solved,Solved,T2us Right now error,Other,473,20-03-2011 03:28,17-03-2011 11:27,2713,No Value
110317-000002,2848,Alan Cheng,High,Solved,Solved,Wall board virus error,Other,473,17-03-2011 13:00,17-03-2011 12:58,830,No Value
110318-000000,2849,Stephen Pickett,Low,Solved,Solved,RightNow not loading,Login Error,473,21-03-2011 09:58,18-03-2011 21:33,2759,No Value
110321-000000,2851,Alan Cheng,Urgent,Solved,Solved,Unable to reset my Caravan RightNow password,Password Issue,473,21-03-2011 09:56,21-03-2011 00:34,1607,No Value
110321-000002,2852,Alan Cheng,High,Solved,Solved,Anti virus error on wall board,Wallboard,473,21-03-2011 09:54,21-03-2011 09:46,830,No Value
110321-000003,2853,Alan Cheng,Medium,Solved,Solved,Right now search on partial dates,Other,473,21-03-2011 11:44,21-03-2011 10:02,2715,No Value
110321-000004,2854,Stephen Pickett,High,Solved,Solved,Website error,Website,473,22-03-2011 10:07,21-03-2011 14:25,2748,No Value
110321-000005,2855,Alan Cheng,Medium,Solved,Solved,Partial Strings in Right Now,Other,473,23-03-2011 16:16,21-03-2011 14:46,2715,No Value
110323-000000,2856,Chris Farmer,Urgent,Solved,Solved,Installing RightNow,Other,473,23-03-2011 09:33,23-03-2011 09:18,2861,No Value
110323-000001,2857,Alan Cheng,Urgent,Solved,Solved,Sophos Anti Virus message,Communicator,473,23-03-2011 16:15,23-03-2011 11:59,2713,No Value
110324-000000,2858,Chris Farmer,Urgent,Solved,Solved,Add Cloud Monitor to casupport,Other,473,24-03-2011 09:47,24-03-2011 09:47,2748,No Value
110324-000002,2860,Chris Farmer,Medium,Solved,Solved,NCVO Righ Now,Password Issue,473,24-03-2011 12:45,24-03-2011 11:16,2713,No Value
110324-000003,2861,Stephen Pickett,Urgent,Solved,Solved,Exporting reports in PDF,Other,473,28-03-2011 10:52,24-03-2011 13:42,1243,No Value
110325-000001,2863,Alan Cheng,Medium,Solved,Solved,Call recorder permissions,Other,473,25-03-2011 15:52,25-03-2011 15:18,2861,No Value
110325-000002,2864,Chris Farmer,Low,Solved,Solved,Keyboard,Keyboard,473,25-03-2011 15:52,25-03-2011 15:42,2861,No Value
110325-000003,2865,Alan Cheng,Urgent,Solved,Solved,Unable to get outlook,Outlook,473,25-03-2011 15:49,25-03-2011 15:49,2722,No Value
110327-000001,2867,Chris Farmer,Urgent,Solved,Solved,Weekend calls for EFC and T2U,Other,473,27-03-2011 19:07,27-03-2011 19:07,831,No Value
110328-000001,2869,Stephen Pickett,Urgent,Solved,Solved,Export tool exporting with no Product,Existing Customer,560,30-03-2011 10:59,28-03-2011 10:13,2157,No Value
110329-000001,2872,Chris Farmer,Urgent,Solved,Solved,Customer2,Login Error,473,27-05-2011 16:46,29-03-2011 10:45,2748,No Value
110329-000002,2873,Chris Farmer,Urgent,Solved,Solved,Customer1,Login Error,473,31-03-2011 14:02,29-03-2011 10:47,2748,No Value
110329-000003,2874,Chris Farmer,Urgent,Solved,Solved,Customer 2 WUTS Install issue,Other,473,29-03-2011 11:19,29-03-2011 10:54,2748,No Value
110329-000004,2875,Chris Farmer,Urgent,Solved,Solved,THA Standard Site Redevelopment,No Value,562,03-05-2011 14:12,29-03-2011 11:24,2144,No Value
110329-000005,2876,Chris Farmer,Urgent,Solved,Solved,I would like to have Visio installed on my laptop,Other,473,29-03-2011 15:54,29-03-2011 14:02,2714,No Value
110329-000006,2877,Stephen Pickett,Low,Solved,Solved,leisure Laptop,Other,473,29-03-2011 16:38,29-03-2011 14:35,2715,No Value
110329-000007,2878,Chris Farmer,Urgent,Solved,Solved,Live Chat for Right Now,Other,473,29-03-2011 15:38,29-03-2011 15:31,835,No Value
110330-000000,2880,Chris Farmer,Urgent,Solved,Solved,Frozen board,Monitor,473,30-03-2011 17:09,30-03-2011 08:27,2721,No Value
110401-000000,2882,Alan Cheng,Medium,Solved,Solved,Wuts Chat,Other,473,01-04-2011 17:14,01-04-2011 10:58,2748,No Value
110401-000002,2884,Alan Cheng,High,Solved,Solved,CommsOffice saving error,CommsOffice,473,05-04-2011 15:47,01-04-2011 16:10,2861,No Value
110404-000001,2887,Chris Farmer,Medium,Solved,Solved,Unlocking the Customer Laptop,Other,473,04-04-2011 12:26,04-04-2011 11:54,2714,No Value
110404-000002,2888,Chris Farmer,Medium,Solved,Solved,Assistance required logging int o the phone system,Agent Toolbar,473,04-04-2011 12:27,04-04-2011 11:56,2714,No Value
110405-000001,2890,Alan Cheng,Urgent,Solved,Solved,Rachael Overland has problems logging into Outlook -,Outlook,473,05-04-2011 16:03,05-04-2011 10:00,2714,No Value
110405-000002,2891,Alan Cheng,High,Solved,Solved,Licensed Trade Charity Site Build,No Value,63,01-07-2011 15:20,05-04-2011 13:08,3033,No Value
110405-000003,2892,Alan Cheng,Urgent,Solved,Solved,NO Adobe Reader instualled,Other,473,05-04-2011 16:02,05-04-2011 15:25,3034,No Value
110406-000000,2893,Alan Cheng,Urgent,Solved,Solved,Renovo rightnow installation error,Login Error,473,06-04-2011 14:57,06-04-2011 11:44,830,No Value
110406-000001,2894,Stephen Pickett,Urgent,Solved,Solved,TSS access,Other,473,06-04-2011 18:39,06-04-2011 16:06,830,No Value
110408-000000,2896,Chris Farmer,High,Solved,Solved,Unable to Access BFIME and CA Support Rightnow applications,Other,473,05-08-2011 15:22,08-04-2011 06:44,2722,No Value
110408-000001,2897,Alan Cheng,Urgent,Solved,Solved,RightNow will not start up,Login Error,473,08-04-2011 10:18,08-04-2011 09:56,1607,No Value
110408-000002,2898,Stephen Pickett,Low,Solved,Solved,Unable to load RightNow,Installations and Upgrades,71,12-04-2011 13:29,08-04-2011 14:26,3042,No Value
110408-000003,2899,Adam Wilkinson,Urgent,Solved,Solved,Test,Other,473,11-04-2011 09:04,08-04-2011 17:34,1934,No Value
110410-000001,2901,Stephen Pickett,Medium,Solved,Solved,E-mail,Outlook,473,10-04-2011 10:38,10-04-2011 10:38,836,No Value
110411-000000,2902,Stephen Pickett,Low,Solved,Solved,"Support Feedback: No, Poor or Very Poor selected",No Value,473,01-07-2011 15:34,11-04-2011 10:08,2722,No Value
110411-000002,2904,Stephen Pickett,Urgent,Solved,Solved,Rightnow error,Login Error,473,11-04-2011 13:14,11-04-2011 11:57,830,No Value
110411-000003,2905,Stephen Pickett,High,Solved,Solved,Ian Morgan is unable to access RightNow,Login Error,473,11-04-2011 13:16,11-04-2011 13:16,2934,No Value
110411-000005,2907,Stephen Pickett,Low,Solved,Solved,Jennifer doesn't know how to proceed in her training,Website,473,11-04-2011 13:21,11-04-2011 13:21,2759,No Value
110411-000006,2908,Chris Farmer,High,Solved,Solved,rightnow,Other,473,13-04-2011 11:33,11-04-2011 16:43,837,No Value
